data,ora,giorno_settimana,tempo_percorrenza_min,tempo_percorrenza_sec,ritardo_traffico_sec,distanza_km
2026-09-08,11:55,Tuesday,21.4,1281,20,24.96
2026-09-08,12:04,Tuesday,23.4,1403,155,24.96
2026-09-08,12:08,Tuesday,23.6,1419,0,26.73
2026-09-08,12:14,Tuesday,23.5,1410,0,26.73
2026-09-08,12:17,Tuesday,23.6,1415,0,26.73
2026-09-08,12:19,Tuesday,23.5,1412,0,26.73
2026-09-08,12:29,Tuesday,23.5,1409,0,26.73
2026-09-09,11:11,Wednesday,14.5,870,0,22.93
2026-09-09,11:24,Wednesday,15.1,904,63,22.93
2026-09-09,12:07,Wednesday,14.2,850,0,22.93
2026-09-09,12:42,Wednesday,14.0,841,0,22.93
2026-09-09,12:51,Wednesday,14.8,885,0,22.93
2026-09-09,14:14,Wednesday,16.2,970,63,22.93
2026-09-10,11:11,Thursday,14.2,852,0,22.93
2026-09-10,11:23,Thursday,14.0,841,0,22.93
2026-09-10,12:02,Thursday,14.2,854,0,22.93
2026-09-10,12:31,Thursday,13.9,837,0,22.93
2026-09-10,12:45,Thursday,13.9,837,0,22.93
2026-09-10,14:08,Thursday,14.1,848,0,22.93
2026-09-11,11:09,Friday,13.9,837,0,22.93
2026-09-11,11:22,Friday,13.9,837,0,22.93
2026-09-11,11:59,Friday,14.1,846,0,22.93
2026-09-11,12:32,Friday,14.0,839,0,22.93
2026-09-11,12:43,Friday,14.2,851,0,22.93
2026-09-11,14:06,Friday,13.9,836,0,22.93
2026-09-14,12:07,Monday,14.0,838,0,22.93
2026-09-14,12:20,Monday,14.0,841,0,22.93
2026-09-14,12:58,Monday,13.9,837,0,22.93
2026-09-14,13:40,Monday,14.1,848,0,22.93
2026-09-14,13:58,Monday,14.0,840,0,22.93
2026-09-14,15:47,Monday,14.0,839,0,22.93
2026-09-15,11:36,Tuesday,14.0,841,0,22.93
2026-09-15,11:47,Tuesday,14.1,845,0,22.93
2026-09-15,12:27,Tuesday,14.1,844,0,22.93
2026-09-15,12:59,Tuesday,14.1,845,0,22.93
2026-09-15,13:13,Tuesday,14.0,841,0,22.93
2026-09-15,14:33,Tuesday,14.2,851,0,22.93
2026-09-16,11:31,Wednesday,14.0,839,0,22.93
2026-09-16,11:41,Wednesday,14.0,840,0,22.93
2026-09-16,12:17,Wednesday,14.2,850,0,22.93
2026-09-16,12:47,Wednesday,14.0,840,0,22.93
2026-09-16,12:56,Wednesday,14.0,839,0,22.93
2026-09-16,14:30,Wednesday,14.0,839,0,22.93
2026-09-17,11:39,Thursday,14.2,854,0,22.93
2026-09-17,11:49,Thursday,14.2,853,0,22.93
2026-09-17,12:25,Thursday,14.2,851,0,22.93
2026-09-17,12:53,Thursday,14.0,839,0,22.93
2026-09-17,13:05,Thursday,14.0,840,0,22.93
2026-09-17,14:30,Thursday,14.2,852,0,22.93
2026-09-18,11:12,Friday,14.2,853,0,22.93
2026-09-18,11:23,Friday,14.1,845,0,22.93
2026-09-18,12:03,Friday,14.0,838,0,22.93
2026-09-18,12:29,Friday,14.1,843,0,22.93
2026-09-18,12:40,Friday,14.1,848,0,22.93
2026-09-18,14:09,Friday,14.1,846,0,22.93
2026-09-21,12:12,Monday,14.0,839,0,22.93
2026-09-21,12:24,Monday,14.0,839,0,22.93
2026-09-21,13:06,Monday,14.1,844,0,22.93
2026-09-21,13:53,Monday,14.0,838,0,22.93
2026-09-21,14:09,Monday,14.0,838,0,22.93
2026-09-21,15:47,Monday,14.4,863,0,22.93
2026-09-22,11:29,Tuesday,14.1,846,0,22.93
2026-09-22,11:38,Tuesday,14.3,856,0,22.93
